Date,Product_Name,Category,Quantity_Sold,Cost_Price,Selling_Price,Profit,Remaining_Stock
2/15/2023,Running Shoes Nike Air,Sports,10,2933,4906,19730,17
8/10/2024,Formal Pump Ladies,Ladies,11,1545,2907,14985,
5/14/2023,Casual Canvas White,Casual,4,541,1054,2052,45
2/5/2024,Boots Winter Leather,Formal,1,3753,5970,2217,115
2/5/2023,Kids Sneakers Blue,kids,1,583,1240,657,55
2/15/2023,Running Shoes Nike Air,Sports,7,2663,4330,11669,27
9/2/2022,  Sandals Summer  ,Casual,13,408,898,6378,80
4/18/2024,Running Shoes Nike Air,SPORTS,2,,4790,3681,16
2/6/2022,Kids Formal Black,Kids,2,662,1367,1410,113
10/5/2022,Casual Loafers Brown,Casual,2,882,1720,1676,66
9/8/2023,Formal Pump Ladies,Ladies,3,1572,2853,3841,11
12/25/2022,Kids Formal Black,Kids,6,743,1491,4491,39
2/7/2022,Formal Pump Ladies,Ladies,5,1523,3006,7417,86
5/22/2024,Jogging Shoes Puma,Sports,,2476,3912,14366,104
3/9/2024,Sandals Summer,Casual,9,384,868,4356,25
6/30/2024,Ethnic Mojri,Ethnic,,535,960,6379,116
9/1/2022,Casual Canvas White,Casual,8,530,1182,5216,37
5/3/2022,Jogging Shoes Puma,Sports,,2476,4058,9494,65
12/11/2023,Ladies Heels Red,Ladies,4,1197,2541,5373,32
10/15/2024,Ladies Heels Red,Ladies,8,1152,2348,9566,89
7/17/2024,Ladies Flats Gold,Ladies,8,757,1577,,44
7/12/2022,Formal Oxford Black,Formal,1,1766,3065,1300,38
8/22/2024,Running Shoes Nike Air,Sports,3,2661,4748,6261,84
11/30/2024,Ladies Flats Gold,Ladies,9,774,1752,8797,48
12/23/2022,Sports Adidas Ultra,Sports,,3302,5028,10355,43
8/14/2023,Ladies Flats Gold,ladies,14,776,1598,11504,43
10/14/2024,  Jogging Shoes Puma  ,,14,2674,3910,17296,55
8/3/2023,Sports Adidas Ultra,Sports,14,3419,5163,24407,60
3/20/2022,Kids Sneakers Blue,Kids,11,646,1311,7310,60
6/24/2022,Ladies Heels Red,Ladies,12,1271,2431,13921,99
7/31/2023,Formal Oxford Black,Formal,3,1804,3294,4469,99
4/5/2023,Kids Formal Black,Kids,12,686,1475,9471,95
5/21/2024,Sports Adidas Ultra,Sports,4,3108,5673,10260,57
12/10/2023,Boots Winter Leather,Formal,1,3225,5990,2765,11
6/21/2022,Ladies Heels Red,Ladies,3,1203,2367,3490,
2/13/2022,  Boots Winter Leather  ,,6,3571,6499,17566,118
9/11/2022,Sports Adidas Ultra,Sports,4,3068,5148,8318,83
7/16/2024,Casual Canvas White,Casual,7,569,1074,3538,13
10/19/2023,Boots Winter Leather,Formal,3,3318,6167,8547,65
9/19/2022,Boots Winter Leather,Formal,7,3390,6371,20868,49
1/22/2024,Kids Sneakers Blue,Kids,4,637,1228,2367,53
6/19/2024,Boots Winter Leather,Formal,8,3399,6300,23205,114
5/28/2022,Formal Pump Ladies,Ladies,7,1548,2969,9945,35
11/29/2022,Jogging Shoes Puma,Sports,8,2631,4211,12642,15
6/8/2024,Kids Sneakers Blue,Kids,10,555,1162,6068,39
2/21/2022,Formal Pump Ladies,Ladies,15,1523,2776,18801,68
12/15/2023,Sandals Summer,Casual,,,937,4045,70
5/5/2023,Casual Canvas White,Casual,14,536,,8763,67
3/11/2024,Boots Winter Leather,Formal,14,3245,6120,40261,98
2/5/2022,Ladies Flats Gold,Ladies,13,815,1706,11583,113
6/14/2023,  Sports Adidas Ultra  ,Sports,4,3240,5456,8864,56
4/3/2022,Casual Canvas White,Casual,8,534,1103,4549,58
1/31/2022,,Kids,6,645,1418,4637,115
5/10/2022,Ethnic Mojri,Ethnic,3,504,1023,1557,63
3/26/2024,Sandals Summer,Casual,6,410,904,2965,132
5/9/2024,Kids Sneakers Blue,Kids,14,566,1296,10209,16
2/23/2023,Ethnic Mojri,Ethnic,1,511,1054,543,88
3/7/2022,Casual Loafers Brown,Casual,11,929,1966,11402,118
10/25/2023,Sports Adidas Ultra,Sports,4,3136,5018,7530,96
9/8/2024,Sandals Summer  ,,10,392,896,5034,49
11/16/2024,Boots Winter Leather,Formal,9,3539,6152,23521,92
1/10/2023,Kids Sneakers Blue,Kids,3,646,1263,1850,21
2/27/2023,Casual Canvas White,Casual,6,552,1125,,44
7/20/2022,Formal Oxford Black,Formal,6,1923,3091,7006,29
1/2/2022,Casual Loafers Brown,Casual,,,1754,7390,62
3/6/2022,Sandals Summer,Casual,2,404,907,1007,40
5/14/2023,Sports Adidas Ultra,Sports,,3307,,9816,29
7/24/2023,Jogging Shoes Puma,Sports,14,2572,3843,17786,44
10/14/2022,Formal Oxford Black,Formal,14,1737,3055,,111
8/1/2024,Ladies Heels Red,Ladies,14,1270,2439,16367,122
3/22/2023,Running Shoes Nike Air,Sports,21,2940,4701,36973,13
11/6/2022,Casual Loafers Brown,Casul,2,942,1881,1878,
5/1/2024,Sports Adidas Ultra,Sports,8,3141,5057,15329,129
11/15/2023,Ladies Heels Red,,5,1285,2433,5741,32
9/21/2023,Kids Formal Black,Kids,13,715,1435,9363,118
12/29/2023,Jogging Shoes Puma,Sports,7,2524,4222,11887,37
8/27/2022,Casual Canvas White,Casual,13,509,1058,7143,50
6/14/2023,Formal Oxford Black,Formal,5,1877,3381,7524,85
3/21/2022,Formal Oxford Black,Formal,3,1902,3257,4066,35
10/20/2022,Kids Sneakers Blue,Kids,14,577,1273,9755,21
8/17/2022,Boots Winter Leather,Formal,10,3276,6025,27490,46
8/8/2022,Formal Oxford Black,Formal,3,1779,3321,4627,135
10/15/2022,Kids Formal Black,Kids,3,697,1370,2017,72
5/3/2023,Casual Loafers Brown,Casual,14,885,,13851,52
5/24/2022,Kids Formal Black,Kids,12,657,1486,9944,32
6/7/2023,Sports Adidas Ultra,Sports,5,3244,5169,9622,60
10/20/2022,Sports Adidas Ultra,Sports,19,2961,5708,52186,69
6/22/2023,Sandals Summer,Casual,8,399,902,4024,65
7/14/2024,Kids Sneakers Blue,Kids,19,616,1205,11179,21
7/31/2022,Formal Oxford Black,Formal,9,,3142,,20
12/9/2022,Slippers Home,Casual,5,261,586,,85
6/29/2023,Sports Adidas Ultra,Sports,3,3136,5623,7460,44
6/30/2023,Formal Oxford Black,Formal,14,,3271,21440,50
9/7/2023,Ladies Flats Gold,Ladies,6,798,1616,4911,55
1/11/2024,Formal Oxford Black,Formal,10,1848,3321,,33
1/23/2023,Kids Formal Black,Kids,7,731,1515,5489,48
11/28/2024,Formal Pump Ladies,Ladies,9,1451,2975,,135
3/30/2023,Formal Oxford Black,Formal,2,1781,3384,3205,10
1/10/2023,Running Shoes Nike Air,Sports,9,2610,,15256,82
1/26/2022,Boots Winter Leather,Formal,18,3651,6551,52207,58
9/5/2024,Ladies Flats Gold,Ladies,11,785,1573,8671,36
10/5/2022,Sandals Summer,Casual,3,417,868,1353,119
1/10/2023,Kids Sneakers Blue,Kids,14,576,,8976,122
4/14/2024,Kids Formal Black,Kids,2,754,1519,1531,19
9/28/2024,Slippers Home,Casual,1,258,,264,43
2/20/2022,Kids Formal Black,Kids,6,,1535,4982,71
7/29/2022,Casual Canvas White,Casual,8,589,1052,3704,20
8/9/2024,Kids Sneakers Blue,Kids,15,642,1263,9309,64
7/21/2023,Formal Pump Ladies,Ladies,9,1442,3063,14588,39
1/16/2024,Casual Canvas White,Casual,9,587,1145,5018,61
12/5/2022,Casual Canvas White,Casual,4,591,1073,1930,27
10/30/2022,Sandals Summer,Casual,2,422,958,1072,78
11/16/2023,Sports Adidas Ultra,Sports,19,2965,5678,51550,
11/4/2024,Ladies Heels Red,Ladies,6,1276,,7018,29
9/8/2023,Sandals Summer,Casual,1,399,902,503,32
5/8/2024,Jogging Shoes Puma,Sports,12,2433,3942,18098,47
8/28/2024,Boots Winter Leather,formal,5,3442,5703,11305,37
11/2/2024,Ladies Heels Red,,14,1197,2604,19701,35
6/9/2024,Sandals Summer,Casual,4,432,963,2126,85
3/7/2022,Boots Winter Leather,Formal,9,3423,6026,23433,12
11/13/2023,Ethnic Mojri,ethnic,6,535,1089,3326,59
12/5/2022,Ladies Flats Gold,Ladies,4,801,1536,2943,23
2/22/2024,Formal Pump Ladies,Ladies,,1464,,14724,22
6/21/2023,Sandals Summer,Casual,15,397,985,8817,73
7/15/2023,Sports Adidas Ultra,,10,2967,5565,25979,103
9/20/2024,Formal Pump Ladies,Ladies,10,1450,3079,16287,11
1/2/2022,Ethnic Mojri,Ethnic,,512,1041,5825,66
3/22/2023,Kids Sneakers Blue,Kids,4,610,1311,2806,59
12/14/2023,Sports Adidas Ultra,Sports,6,3240,5198,11752,80
9/17/2023,Ladies Heels Red,Ladies,2,1221,2542,2642,91
11/16/2023,Kids Sneakers Blue,Kids,15,608,1302,10405,76
9/13/2024,Kids Sneakers Blue,Kids,5,633,1257,3120,67
3/19/2024,Sports Adidas Ultra,Sports,21,2982,5360,,80
7/9/2024,Sports Adidas Ultra,Sports,12,,5333,24049,91
12/24/2022,Casual Canvas White,Casual,6,585,1158,3436,111
6/11/2022,Kids Formal Black,Kids,6,677,1350,4037,87
12/20/2023,Sports Adidas Ultra,Sports,7,3273,5249,13834,66
5/18/2023,  Formal Pump Ladies  ,ladies,11,1473,2748,14021,45
8/7/2023,Jogging Shoes Puma,Sports,3,2593,3970,4128,22
12/2/2022,Kids Sneakers Blue,Kids,1,623,1161,538,41
2/14/2023,Kids Formal Black,Kids,,743,1330,5288,19
7/20/2022,Boots Winter Leather,Formal,6,3229,6306,18459,19
10/6/2023,Sandals Summer,Casual,9,404,882,4303,56
11/24/2023,Jogging Shoes Puma,Sports,5,2541,3973,7160,25
11/28/2023,Sports Adidas Ultra,Sports,,3036,5286,20243,102
4/27/2024,Casual Canvas White,Casual,2,552,1172,1240,35
1/11/2023,Jogging Shoes Puma,Sports,13,2375,3911,19970,145
9/5/2023,Boots Winter Leather,Formal,8,3407,6283,23005,95
4/26/2022,Sports Adidas Ultra,Sports,8,3141,5517,19012,25
4/8/2022,Ladies Heels Red,Ladies,13,1126,2339,15767,48
8/26/2022,Slippers Home,Casual,5,258,563,1525,44
10/24/2023,Formal Oxford Black,Formal,9,1861,3101,11154,21
3/22/2022,Casual Loafers Brown,Casual,10,955,1728,7724,75
12/10/2024,Casual Canvas White,Casual,13,582,1154,,127
2/18/2024,Boots Winter Leather,Formal,5,3222,5906,13420,63
5/4/2024,Sandals Summer,Casual,14,420,895,6644,52
12/8/2022,Boots Winter Leather,Formal,9,3513,6309,25166,50
2/7/2023,Slippers Home,Casual,5,254,592,1689,133
11/3/2023,Formal Oxford Black,Formal,4,1824,3476,6611,68
7/15/2024,Sports Adidas Ultra,Sports,9,3282,5622,21054,80
6/25/2023,Slippers Home,Casual,5,233,547,1571,131
12/1/2022,Jogging Shoes Puma,Sports,9,,4221,,64
4/10/2023,Boots Winter Leather,Formal,8,3267,5929,21297,104
6/15/2023,Ladies Heels Red,Ladies,1,1233,2449,1216,59
4/30/2024,Kids Formal Black,Kids,3,677,1457,2339,26
9/13/2024,Boots Winter Leather,Formal,7,3602,,17249,74
10/5/2022,Ethnic Mojri,Ethnic,9,472,1001,4758,141
1/25/2022,Boots Winter Leather,Formal,7,3524,6074,17852,76
6/7/2023,Jogging Shoes Puma,Sports,15,2558,4379,27316,35
1/29/2023,Casual Loafers Brown,Casual,13,913,1723,10533,28
7/10/2023,Ladies Flats Gold,Ladies,14,797,1605,,46
12/17/2024,Casual Loafers Brown,Casual,3,882,1978,3288,73
12/4/2024,Formal Pump Ladies,Ladies,14,1541,2742,16820,106
9/9/2023,Kids Formal Black,Kids,7,737,1478,5188,63
9/22/2024,,Formal,9,1672,,14027,30
3/4/2023,Casual Canvas White,Casual,1,550,1154,604,43
2/5/2023,Ethnic Mojri,Ethnic,15,461,1033,8574,125
1/19/2022,Boots Winter Leather,Formal,15,3595,6362,41496,50
4/22/2023,Sandals Summer,Casual,13,417,974,7243,25
1/4/2023,Formal Pump Ladies,Ladies,15,1443,2791,20222,52
4/26/2024,Running Shoes Nike Air,Sports,8,2679,4781,16823,144
10/13/2024,Ethnic Mojri,Ethnic,6,465,1072,3645,24
12/27/2022,Kids Sneakers Blue,Kids,4,560,,2584,47
8/1/2023,Sandals Summer,Casual,8,426,940,4111,144
10/5/2023,Jogging Shoes Puma,Sports,19,,,27845,43
6/5/2022,Casual Canvas White,Casual,6,586,1050,2779,65
10/22/2024,Boots Winter Leather,Formal,4,3244,6232,11955,81
3/12/2024,Kids Sneakers Blue,Kids,9,568,1276,6375,11
7/13/2024,Sports Adidas Ultra,Sports,2,3310,5249,3878,89
9/14/2022,Casual Canvas White,Casual,12,565,1107,6508,40
9/30/2023,Kids Sneakers Blue,Kids,9,644,1292,5833,110
12/24/2022,Ladies Heels Red,Ladies,5,1210,2391,5906,35
11/25/2022,Kids Formal Black,Kids,6,689,1480,4751,63
2/25/2023,Casual Canvas White,Casual,3,536,1136,1802,50
8/1/2022,Casual Loafers Brown,Casual,11,948,1716,8449,42
5/17/2022,Kids Formal Black,Kids,15,717,1341,9363,13
4/12/2024,Slippers Home,Casual,5,253,536,,17
1/4/2022,Running Shoes Nike Air,Sports,11,2899,4735,20199,149
10/10/2022,Kids Sneakers Blue,Kids,15,587,1173,8792,53
1/14/2023,Slippers Home,Casual,12,247,536,3460,58
2/3/2023,Sports Adidas Ultra,Sports,3,3090,5082,5977,66
1/6/2022,Ladies Flats Gold,Ladies,7,859,1743,6185,73
9/14/2023,Formal Oxford Black,Formal,6,1923,3400,8859,55
5/6/2024,Boots Winter Leather,Formal,10,3344,6325,29810,71
2/20/2022,Kids Sneakers Blue,Kids,1,618,1179,561,34
8/22/2023,Kids Sneakers Blue,Kids,6,631,1296,3993,121
8/1/2024,Formal Oxford Black,Formal,12,1909,3397,17851,61
6/9/2023,Ladies Heels Red,Ladies,,1114,2458,5377,60
2/7/2022,Sports Adidas Ultra,Sports,8,3168,5406,17907,81
10/4/2023,Kids Sneakers Blue,Kids,2,641,1220,1158,108
5/24/2023,Sandals Summer,Casual,2,419,946,1055,59
5/18/2023,Slippers Home,Casual,13,235,546,4046,60
4/11/2024,Ladies Flats Gold,Ladies,14,742,1608,,71
7/17/2022,Jogging Shoes Puma,Sports,13,2692,3805,14467,41
11/18/2024,Sports Adidas Ultra,Sports,7,3295,5194,13296,
6/13/2023,Formal Oxford Black,Formal,5,1751,3334,7916,
7/9/2023,Casual Loafers Brown,Casual,11,911,1764,9386,82
3/22/2023,Casual Canvas White,Casual,15,540,1162,9325,10
6/18/2024,Kids Formal Black,Kids,13,752,1525,10047,106
9/29/2023,Ladies Flats Gold,Ladies,15,758,1603,12672,118
8/29/2023,Slippers Home,Casual,11,258,548,3190,110
6/11/2022,Ladies Flats Gold,Ladies,15,792,1533,11119,97
12/3/2022,Slippers Home,Casual,2,266,526,519,100
7/4/2022,Kids Formal Black,Kids,7,645,1512,,69
11/29/2022,Kids Sneakers Blue,Kids,5,603,1309,3529,47
3/1/2023,Ladies Flats Gold,Ladies,3,769,1641,2615,104
9/30/2022,Sandals Summer,Casual,5,402,989,2939,136
11/22/2023,Sandals Summer,Casual,8,415,915,3995,105
11/23/2023,Casual Loafers Brown,Casual,6,952,1778,4956,14
11/7/2023,Casual Loafers Brown,Casual,2,926,1728,1603,44
11/1/2022,Slippers Home,Casual,9,269,589,2888,69
5/17/2022,Slippers Home,Casual,2,,541,612,56
8/14/2023,Kids Sneakers Blue,Kids,18,560,1153,10677,142
12/15/2023,Slippers Home,,9,236,545,2782,43
3/18/2024,Running Shoes Nike Air,Sports,12,2657,4866,26515,34
1/4/2024,Ladies Heels Red,Ladies,10,1293,2292,9994,109
8/16/2023,Ladies Flats Gold,Ladies,10,788,1521,7333,33
4/10/2022,Boots Winter Leather,Formal,12,3528,6124,31154,32
12/2/2023,Ladies Heels Red,Ladies,11,1166,2536,15076,71
1/25/2023,Formal Oxford Black,Formal,14,1673,3219,21641,12
2/18/2022,Formal Pump Ladies,Ladies,5,1559,2802,6215,28
1/5/2023,Formal Oxford Black,Formal,18,1923,3060,20458,57
12/2/2022,Formal Pump Ladies,Ladies,8,1562,2678,8929,60
8/14/2022,Ethnic Mojri,Ethnic,4,500,980,1920,60
4/13/2023,Formal Pump Ladies,Ladies,9,1512,3030,13662,
5/25/2024,Ladies Heels Red,Ladies,11,1207,2613,15466,32
10/16/2022,Slippers Home,Casual,12,233,583,4194,104
10/14/2024,Casual Canvas White,Casual,13,590,1182,7695,72
7/27/2024,Casual Loafers Brown,Casual,10,964,1800,8365,83
5/22/2023,Boots Winter Leather,Formal,1,3744,6025,2281,57
7/1/2022,Ladies Heels Red,Ladies,12,1283,2399,13390,46
12/25/2023,Ladies Flats Gold,Ladies,5,838,1680,4212,116
7/10/2024,Formal Oxford Black,Formal,2,1696,3133,,49
9/16/2024,Ladies Heels Red,Ladies,3,1136,2510,4122,50
2/28/2024,Formal Pump Ladies,Ladies,,1512,2902,16689,63
11/23/2022,Casual Loafers Brown,Casual,1,968,1857,890,79
5/15/2023,Formal Oxford Black,Formal,5,1658,3211,7764,59
8/2/2024,Ladies Heels Red,Ladies,14,1269,2404,,95
11/6/2024,  Ladies Flats Gold  ,Ladies,8,858,1548,5517,54
9/15/2024,Formal Pump Ladies,Ladies,15,1432,2827,20924,65
8/8/2022,Sports Adidas Ultra,Sports,9,3192,5711,22674,
5/8/2023,Formal Pump Ladies,Ladies,2,1569,3022,2905,68
5/3/2023,Kids Formal Black,Kids,5,646,1364,3589,18
2/13/2024,Running Shoes Nike Air,Sports,10,2968,4375,,50
10/11/2022,Ladies Flats Gold,Ladies,3,801,1617,2449,11
10/23/2023,Sandals Summer,Casual,15,380,901,7817,112
2/22/2024,Boots Winter Leather,Formal,13,3644,5793,27943,48
12/28/2024,  Running Shoes Nike Air  ,Sports,1,2584,4625,2041,82
3/14/2023,Ladies Flats Gold,Ladies,8,862,1544,5461,116
7/17/2023,Sandals Summer,Casual,15,394,983,8836,55
4/4/2022,Kids Sneakers Blue,Kids,1,580,1269,689,73
6/11/2022,Sports Adidas Ultra,,12,3418,5361,23321,46
8/25/2023,Kids Formal Black,Kids,18,675,1360,12328,105
7/23/2024,Casual Canvas White,Casual,14,584,1201,8625,44
9/19/2024,Jogging Shoes Puma,Sports,8,2566,4305,13909,128
1/23/2024,Sandals Summer,Casual,,369,914,3812,62
7/16/2023,Sports Adidas Ultra,Sports,,3389,5130,8708,98
4/10/2024,,Casual,13,238,547,4022,36
8/18/2022,Formal Pump Ladies,Ladies,1,1422,2870,1447,46
1/10/2023,Formal Oxford Black,Formal,10,1778,3085,13070,23
7/25/2022,,Kids,6,722,1362,3842,95
3/8/2023,Kids Formal Black,Kids,9,677,,7612,44
5/8/2023,  Sandals Summer  ,Casual,15,385,977,8887,113
10/21/2023,Ladies Heels Red,Ladies,9,1129,2619,,101
10/19/2023,Casual Loafers Brown,Casual,12,945,1891,11352,44
6/11/2022,Boots Winter Leather,Formal,10,3528,6142,26140,44
5/26/2022,Ladies Heels Red,Ladies,5,1212,,5886,85
1/20/2024,Ladies Flats Gold,Ladies,10,809,1584,7750,68
11/13/2024,Running Shoes Nike Air,Sports,1,2952,4396,1444,32
9/2/2022,Formal Oxford Black,Forml,11,1935,3433,16485,106
9/25/2024,Formal Oxford Black,Forml,10,1906,3278,13725,20
8/23/2024,Sports Adidas Ultra,Sports,6,3114,5369,13532,19
2/9/2022,Sandals Summer,Casual,7,389,,3893,86
6/23/2022,Formal Oxford Black,Formal,8,1693,3164,11770,124
9/27/2023,Sandals Summer,CASUAL,10,391,894,5031,120
12/13/2022,Sandals Summer,Casual,1,410,888,,
11/17/2022,Kids Sneakers Blue,Kids,7,624,1266,4490,71
12/8/2024,Boots Winter Leather,Formal,15,3584,6069,37272,31
12/1/2022,Casual Loafers Brown,Casual,15,,1804,14603,24
4/3/2022,Ladies Heels Red,Ladies,5,,2361,5749,62
6/23/2022,Formal Pump Ladies,Ladies,9,1563,2737,10564,41
2/22/2023,Sandals Summer,Casual,10,387,899,5122,62
1/3/2022,Ethnic Mojri,Ethnic,12,485,1048,6758,54
12/6/2024,Formal Oxford Black,Formal,4,1864,3060,4784,37
2/3/2024,Kids Sneakers Blue,Kids,12,598,1152,6643,109
11/9/2024,Boots Winter Leather,Formal,9,3232,,22242,150
3/15/2022,Sports Adidas Ultra,Sports,12,3204,5711,30086,31
4/16/2023,  Ethnic Mojri  ,Ethnic,13,502,984,6264,30
2/17/2022,Casual Canvas White,Casual,7,521,1067,3817,46
12/21/2022,Running Shoes Nike Air,Sports,12,2794,4288,17937,54
8/9/2024,Kids Sneakers Blue,Kids,15,642,1263,9309,64
11/19/2022,Slippers Home,Casual,10,245,578,,138
11/4/2023,Formal Pump Ladies,Ladies,4,1415,2785,5479,63
10/31/2023,,Formal,14,3671,6370,37786,30
5/12/2022,Formal Pump Ladies,Ladies,4,1450,2775,5301,47
3/23/2023,Casual Loafers Brown,Casual,14,889,1897,14103,121
6/28/2024,Boots Winter Leather,Formal,6,3657,,16042,88
12/22/2024,Sandals Summer,Casual,3,,934,1658,66
6/29/2023,Sandals Summer,Casual,9,,951,4710,109
4/8/2022,Casual Canvas White,Casual,6,576,1139,3379,30
9/26/2024,Kids Formal Black,Kids,13,647,1531,11495,56
1/13/2022,Ethnic Mojri,Ethnic,5,476,1057,2905,80
3/31/2024,Jogging Shoes Puma,Sports,21,2592,4201,33800,110
3/2/2023,Running Shoes Nike Air,Sports,18,,4830,38158,
10/23/2022,Jogging Shoes Puma,Sports,2,2305,3859,,44
8/2/2024,Kids Formal Black,Kids,2,742,1451,1417,
5/4/2023,Formal Pump Ladies,Ladies,,1444,3054,3220,71
1/20/2023,Boots Winter Leather,Formal,18,3477,6467,53825,55
8/10/2024,Slippers Home,Casual,5,232,591,1798,
6/29/2022,Running Shoes Nike Air,Sports,12,,4575,23364,71
5/23/2023,Boots Winter Leather,Formal,6,3759,5967,13246,34
11/14/2022,Kids Sneakers Blue,Kids,10,,1283,7160,79
8/27/2022,Casual Loafers Brown,Casual,,869,1744,1750,131
10/3/2023,Ladies Flats Gold,Ladies,13,794,1520,,87
9/27/2024,Kids Sneakers Blue,Kids,4,555,1232,2709,43
12/30/2024,,Ethnic,10,525,1096,5706,67
11/1/2022,Ethnic Mojri,Ethnic,2,463,971,1017,55
1/6/2022,Formal Oxford Black,Formal,14,1796,3073,17882,40
12/12/2023,Casual Loafers Brown,Casual,6,919,1895,5855,19
11/28/2024,Boots Winter Leather,Formal,13,3512,6514,39023,48
3/27/2023,Casual Canvas White,Casual,13,578,1106,6865,126
9/29/2023,Ethnic Mojri,Ethnic,7,461,1092,4416,108
8/30/2022,Ladies Heels Red,Ladies,2,1149,2436,2574,59
3/6/2023,Jogging Shoes Puma,Sports,,2542,3948,12655,65
4/12/2023,Ethnic Mojri,Ethnic,6,522,972,2698,
12/2/2022,Sports Adidas Ultra,Sports,13,3441,5074,21237,87
5/28/2022,,Ladies,5,1154,2393,6196,
1/18/2023,Casual Loafers Brown,Casual,11,845,1765,10125,119
6/21/2024,  Casual Loafers Brown  ,Casual,8,933,1816,7066,30
11/10/2023,Casual Canvas White,Casual,8,518,1102,4668,34
3/31/2022,Formal Pump Ladies,Ladies,15,1554,2949,20924,
4/29/2023,Running Shoes Nike Air,Sports,4,2844,4745,7603,79
11/15/2022,Kids Sneakers Blue,Kids,1,622,1273,650,78
1/15/2024,Kids Sneakers Blue,Kids,8,614,1318,5625,86
9/30/2022,Ladies Heels Red,Ladies,12,1144,2301,13882,25
9/20/2022,Casual Loafers Brown,Casual,14,884,1838,13358,16
3/27/2023,Slippers Home,Casual,13,243,558,4088,107
11/27/2022,Slippers Home,Casual,2,256,596,680,114
2/7/2024,Boots Winter Leather,Formal,14,3462,6073,36551,91
